time_ps,mindist_nm
48100.0,0.261622
48110.0,0.2495394
48120.0,0.2386669
48130.0,0.2612432
48140.0,0.2558377
48150.0,0.2578485
48160.0,0.2511297
48170.0,0.2461388
48180.0,0.2391342
48190.0,0.2686449
48200.0,0.2633342
48210.0,0.2437971
48220.0,0.2613828
48230.0,0.2598518
48240.0,0.2661785
48250.0,0.268855
48260.0,0.2400182
48270.0,0.2577191
48280.0,0.2715363
48290.0,0.2688085
48300.0,0.2386192
48310.0,0.2746084
48320.0,0.2652903
48330.0,0.258523
48340.0,0.2665425
48350.0,0.2623855
48360.0,0.2324612
48370.0,0.2667771
48380.0,0.2645542
48390.0,0.2506574
48400.0,0.259761
48410.0,0.2451205
48420.0,0.27236
48430.0,0.233878
48440.0,0.2666102
48450.0,0.2724864
48460.0,0.265703
48470.0,0.2616068
48480.0,0.2695664
48490.0,0.2847475
48500.0,0.2709426
48510.0,0.2612298
48520.0,0.2494109
48530.0,0.265561
48540.0,0.2589616
48550.0,0.2539078
48560.0,0.249314
48570.0,0.2415638
48580.0,0.2595806
48590.0,0.2438911
48600.0,0.2550568
48610.0,0.2671892
48620.0,0.2618724
48630.0,0.272167
48640.0,0.2525887
48650.0,0.2197497
48660.0,0.2578722
48670.0,0.2532867
48680.0,0.2662386
48690.0,0.2686579
48700.0,0.2416362
48710.0,0.2627281
48720.0,0.2482678
48730.0,0.2688598
48740.0,0.274488
48750.0,0.2620786
48760.0,0.2575151
48770.0,0.2333646
48780.0,0.2525891
48790.0,0.2540768
48800.0,0.2658686
48810.0,0.2500798
48820.0,0.2531474
48830.0,0.274405
48840.0,0.2650698
48850.0,0.2680099
48860.0,0.2389729
48870.0,0.2490245
48880.0,0.2562616
48890.0,0.2510021
48900.0,0.2295866
48910.0,0.2287074
48920.0,0.247996
48930.0,0.2683375
48940.0,0.2434214
48950.0,0.2086931
48960.0,0.24867
48970.0,0.2334845
48980.0,0.2651699
48990.0,0.2489942
49000.0,0.2582304
49010.0,0.2521293
49020.0,0.2576759
49030.0,0.2243234
49040.0,0.2406429
49050.0,0.269068
49060.0,0.2472985
49070.0,0.2601346
49080.0,0.233486
49090.0,0.2454978
49100.0,0.2445017
49110.0,0.2570507
49120.0,0.2470645
49130.0,0.2465465
49140.0,0.2411408
49150.0,0.2573572
49160.0,0.2559336
49170.0,0.2586231
49180.0,0.2292272
49190.0,0.2629393
49200.0,0.2558143
49210.0,0.2388516
49220.0,0.2592681
49230.0,0.2633325
49240.0,0.2473743
49250.0,0.2579667
49260.0,0.267287
49270.0,0.251827
49280.0,0.2403375
49290.0,0.2505617
49300.0,0.2537419
49310.0,0.2532115
49320.0,0.2515033
49330.0,0.2679589
49340.0,0.2399708
49350.0,0.2211337
49360.0,0.2279871
49370.0,0.2429901
49380.0,0.2524084
49390.0,0.2623932
49400.0,0.2388015
49410.0,0.2301263
49420.0,0.2591235
49430.0,0.2612663
49440.0,0.2482139
49450.0,0.2649281
49460.0,0.2564763
49470.0,0.258606
49480.0,0.2450569
49490.0,0.2560172
49500.0,0.2645032
49510.0,0.2614516
49520.0,0.2294211
49530.0,0.2426377
49540.0,0.2146344
49550.0,0.2371204
49560.0,0.2617902
49570.0,0.2283006
49580.0,0.2489138
49590.0,0.2516387
49600.0,0.2383716
49610.0,0.2546016
49620.0,0.2655956
49630.0,0.2659816
49640.0,0.2438565
49650.0,0.2399232
49660.0,0.2442154
49670.0,0.2710221
49680.0,0.2390901
49690.0,0.2694607
49700.0,0.2433354
49710.0,0.271378
49720.0,0.2463409
49730.0,0.2640951
49740.0,0.2223576
49750.0,0.2387244
49760.0,0.2372445
49770.0,0.2141167
49780.0,0.2626041
49790.0,0.2417482
49800.0,0.2395457
49810.0,0.252802
49820.0,0.2221847
49830.0,0.2376492
49840.0,0.2607704
49850.0,0.259494
49860.0,0.2641685
49870.0,0.2528991
49880.0,0.2352126
49890.0,0.2691562
49900.0,0.2589383
49910.0,0.2617803
49920.0,0.2168209
49930.0,0.263184
49940.0,0.2508291
49950.0,0.2612988
49960.0,0.2499635
49970.0,0.2569749
49980.0,0.2284274
49990.0,0.2667885
50000.0,0.244027
50010.0,0.2504755
50020.0,0.2273961
50030.0,0.237472
50040.0,0.2116721
50050.0,0.2389666
50060.0,0.2496016
50070.0,0.2834428
50080.0,0.2067582
50090.0,0.2217477
50100.0,0.2530515
50110.0,0.2450673
50120.0,0.247075
50130.0,0.2447734
50140.0,0.2505772
50150.0,0.2157082
50160.0,0.1796275
50170.0,0.1901839
50180.0,0.1867861
50190.0,0.1820357
50200.0,0.1951842
50210.0,0.2372443
50220.0,0.1809976
50230.0,0.2074175
50240.0,0.1924315
50250.0,0.2157333
50260.0,0.1798832
50270.0,0.1926395
50280.0,0.1907041
50290.0,0.1944374
50300.0,0.1878352
50310.0,0.1789022
50320.0,0.1986303
50330.0,0.1879018
50340.0,0.1927123
50350.0,0.1862714
50360.0,0.2072703
50370.0,0.2525747
50380.0,0.2267092
50390.0,0.1828904
50400.0,0.1828989
50410.0,0.1830574
50420.0,0.1894573
50430.0,0.2000648
50440.0,0.1877901
50450.0,0.1937476
50460.0,0.17876
50470.0,0.2270328
50480.0,0.1968019
50490.0,0.2011618
50500.0,0.1796387
50510.0,0.2045359
50520.0,0.1943659
50530.0,0.1889815
50540.0,0.1800914
50550.0,0.2212901
50560.0,0.1802971
50570.0,0.2439263
50580.0,0.218634
50590.0,0.1981264
50600.0,0.1881329
50610.0,0.1812566
50620.0,0.186121
50630.0,0.1956349
50640.0,0.1776344
50650.0,0.1956857
50660.0,0.1884806
50670.0,0.1902999
50680.0,0.1979216
50690.0,0.2207369
50700.0,0.1862283
50710.0,0.1886641
50720.0,0.1768445
50730.0,0.1991687
50740.0,0.1927331
50750.0,0.1953176
50760.0,0.1715196
50770.0,0.185712
50780.0,0.211237
50790.0,0.2134949
50800.0,0.1816979
50810.0,0.1891985
50820.0,0.189005
50830.0,0.1827947
50840.0,0.190966
50850.0,0.1875956
50860.0,0.2327059
50870.0,0.1782302
50880.0,0.1910184
50890.0,0.2282741
50900.0,0.2207468
50910.0,0.2082068
50920.0,0.1861128
50930.0,0.1964942
50940.0,0.1900422
50950.0,0.1871094
50960.0,0.183172
50970.0,0.1836357
50980.0,0.2058882
50990.0,0.2182319
51000.0,0.1739567
51010.0,0.1824606
51020.0,0.1825513
51030.0,0.1809561
51040.0,0.2386839
51050.0,0.1941209
51060.0,0.2499321
51070.0,0.1871737
51080.0,0.1921615
51090.0,0.1928885
51100.0,0.1981941
51110.0,0.1728032
51120.0,0.1910052
51130.0,0.2126614
51140.0,0.2326454
51150.0,0.1916298
51160.0,0.1841575
51170.0,0.2132228
51180.0,0.1708247
51190.0,0.2224724
51200.0,0.1806763
51210.0,0.2087414
51220.0,0.1960842
51230.0,0.170763
51240.0,0.2111446
51250.0,0.1784908
51260.0,0.2221059
51270.0,0.190856
51280.0,0.1982575
51290.0,0.2004151
51300.0,0.1989901
51310.0,0.2093683
51320.0,0.2020918
51330.0,0.1792513
51340.0,0.1993011
51350.0,0.200482
51360.0,0.1935278
51370.0,0.1721542
51380.0,0.1897947
51390.0,0.1720728
51400.0,0.1927926
51410.0,0.1891051
51420.0,0.1938948
51430.0,0.1866816
51440.0,0.2639713
51450.0,0.1881786
51460.0,0.235962
51470.0,0.2280926
51480.0,0.2554424
51490.0,0.1926989
51500.0,0.2123348
51510.0,0.2058831
51520.0,0.246844
51530.0,0.2112675
51540.0,0.1876032
51550.0,0.1994538
51560.0,0.2484857
51570.0,0.1872027
51580.0,0.1971549
51590.0,0.172702
51600.0,0.1887379
51610.0,0.2303497
51620.0,0.1981365
51630.0,0.1788467
51640.0,0.2206672
51650.0,0.1840923
51660.0,0.1927852
51670.0,0.1892142
51680.0,0.1700768
51690.0,0.1713735
51700.0,0.1912535
51710.0,0.187518
51720.0,0.1789024
51730.0,0.1843067
51740.0,0.1791535
51750.0,0.2041396
51760.0,0.1894285
51770.0,0.1739715
51780.0,0.1861296
51790.0,0.1840923
51800.0,0.1881545
51810.0,0.2078003
